Code zone,Zone,Kcal_veg,Kcal_anim,Kcal_total_kcal_per_capita_per_day,Population_milliers,Sous_alimentation_millions,Population_millions,Taux_sous_nutrition_pct
1,Arménie,2140.0,784.0,2924.0,2977,0.1,2.977,3.3590863285186434
2,Afghanistan,1871.0,216.0,2087.0,30552,10.6,30.552,34.69494632102645
3,Albanie,2203.0,985.0,3188.0,3173,0.2,3.173,6.303183107469272
4,Algérie,2915.0,378.0,3293.0,39208,1.6,39.208,4.080799836768008
7,Angola,2221.0,253.0,2474.0,21472,7.4,21.472,34.463487332339795
8,Antigua-et-Barbuda,1635.0,781.0,2416.0,90,,0.09,
9,Argentine,2239.0,987.0,3226.0,41446,2.1,41.446,5.066833952613039
10,Australie,2227.0,1051.0,3278.0,23343,,23.343,
11,Autriche,2633.0,1137.0,3770.0,8495,,8.495,
12,Bahamas,1828.0,842.0,2670.0,377,,0.377,
14,Barbade,2248.0,688.0,2936.0,285,,0.285,
16,Bangladesh,2345.0,108.0,2453.0,156595,24.2,156.595,15.45387783773428
17,Bermudes,1858.0,810.0,2668.0,65,,0.065,
19,Bolivie (État plurinational de),1790.0,460.0,2250.0,10671,1.9,10.671,17.80526661043951
20,Botswana,1948.0,377.0,2325.0,2021,0.6,2.021,29.688273132112812
21,Brésil,2435.0,827.0,3262.0,200362,,200.362,
23,Belize,2200.0,546.0,2746.0,332,,0.332,
25,Îles Salomon,2187.0,196.0,2383.0,561,,0.561,
26,Brunéi Darussalam,2343.0,642.0,2985.0,418,,0.418,
27,Bulgarie,2148.0,680.0,2828.0,7223,0.3,7.223,4.153398864737643
28,Myanmar,2145.0,429.0,2574.0,53259,5.7,53.259,10.702416492987101
32,Cameroun,2542.0,127.0,2669.0,22254,2.4,22.254,10.78457805338366
33,Canada,2635.0,864.0,3499.0,35182,,35.182,
35,Cabo Verde,2134.0,471.0,2605.0,499,,0.499,
37,République centrafricaine,1673.0,206.0,1879.0,4616,2.8,4.616,60.65857885615251
38,Sri Lanka,2371.0,166.0,2537.0,21273,1.9,21.273,8.93150942509284
39,Tchad,1991.0,118.0,2109.0,12825,5.6,12.825,43.66471734892787
40,Chili,2226.0,754.0,2980.0,17620,0.5,17.62,2.837684449489217
41,"Chine, continentale",2389.0,723.0,3112.0,1385567,121.4,1385.567,8.76175601757259
44,Colombie,2304.0,496.0,2800.0,48321,2.4,48.321,4.9667846278015775
46,Congo,2021.0,185.0,2206.0,4448,2.1,4.448,47.21223021582733
48,Costa Rica,2213.0,633.0,2846.0,4872,0.2,4.872,4.1050903119868645
49,Cuba,2906.0,496.0,3402.0,11266,,11.266,
50,Chypre,1993.0,653.0,2646.0,1141,,1.141,
52,Azerbaïdjan,2602.0,511.0,3113.0,9413,,9.413,
53,Bénin,2491.0,128.0,2619.0,10323,1.1,10.323,10.655817107430012
54,Danemark,2172.0,1194.0,3366.0,5619,,5.619,
55,Dominique,2351.0,579.0,2930.0,72,,0.072,
56,République dominicaine,2224.0,387.0,2611.0,10404,1.0,10.404,9.611687812379854
57,Bélarus,2411.0,838.0,3249.0,9357,,9.357,
58,Équateur,1732.0,614.0,2346.0,15738,1.3,15.738,8.260261786758164
59,Égypte,3188.0,330.0,3518.0,82056,4.4,82.056,5.362191673978747
60,El Salvador,2144.0,432.0,2576.0,6340,0.6,6.34,9.46372239747634
63,Estonie,2448.0,800.0,3248.0,1287,,1.287,
66,Fidji,2429.0,514.0,2943.0,881,,0.881,
67,Finlande,2053.0,1313.0,3366.0,5426,,5.426,
68,France,2299.0,1183.0,3482.0,64291,,64.291,
70,Polynésie française,2061.0,862.0,2923.0,277,,0.277,
72,Djibouti,2376.0,233.0,2609.0,873,0.2,0.873,22.90950744558992
73,Géorgie,2401.0,501.0,2902.0,4341,0.3,4.341,6.91085003455425
74,Gabon,2413.0,413.0,2826.0,1672,0.2,1.672,11.961722488038278
75,Gambie,2457.0,164.0,2621.0,1849,0.2,1.849,10.81665765278529
79,Allemagne,2461.0,1042.0,3503.0,82727,,82.727,
80,Bosnie-Herzégovine,2635.0,521.0,3156.0,3829,,3.829,
81,Ghana,2874.0,140.0,3014.0,25905,1.6,25.905,6.176413819725922
83,Kiribati,2685.0,357.0,3042.0,102,,0.102,
84,Grèce,2593.0,801.0,3394.0,11128,,11.128,
86,Grenade,1864.0,578.0,2442.0,106,,0.106,
89,Guatemala,2161.0,255.0,2416.0,15468,2.6,15.468,16.808895784846133
90,Guinée,2448.0,119.0,2567.0,11745,2.1,11.745,17.879948914431676
91,Guyana,2292.0,470.0,2762.0,800,,0.8,
93,Haïti,1935.0,154.0,2089.0,10317,5.4,10.317,52.340796743239316
95,Honduras,2277.0,362.0,2639.0,8096,1.2,8.096,14.82213438735178
96,Chine - RAS de Hong-Kong,1970.0,1316.0,3286.0,7204,,7.204,
97,Hongrie,2149.0,885.0,3034.0,9955,,9.955,
98,Croatie,2239.0,817.0,3056.0,4290,,4.29,
99,Islande,1884.0,1497.0,3381.0,330,,0.33,
100,Inde,2219.0,235.0,2454.0,1252140,194.4,1252.14,15.525420480138003
101,Indonésie,2594.0,182.0,2776.0,249866,22.0,249.866,8.804719329560644
102,Iran (République islamique d'),2784.0,305.0,3089.0,77447,4.0,77.447,5.164822394669903
103,Iraq,2376.0,166.0,2542.0,33765,11.1,33.765,32.87427809862283
104,Irlande,2598.0,1004.0,3602.0,4627,,4.627,
105,Israël,2793.0,817.0,3610.0,7733,,7.733,
106,Italie,2677.0,901.0,3578.0,60990,,60.99,
107,Côte d'Ivoire,2683.0,114.0,2797.0,20316,4.6,20.316,22.642252411892105
108,Kazakhstan,2330.0,932.0,3262.0,16441,,16.441,
109,Jamaïque,2230.0,512.0,2742.0,2784,0.2,2.784,7.183908045977012
110,Japon,2181.0,545.0,2726.0,127144,,127.144,
112,Jordanie,2747.0,352.0,3099.0,7274,1.2,7.274,16.497113005224083
113,Kirghizistan,2200.0,617.0,2817.0,5548,0.4,5.548,7.2098053352559495
114,Kenya,1929.0,276.0,2205.0,44354,14.6,44.354,32.91698606664563
115,Cambodge,2264.0,209.0,2473.0,15135,2.6,15.135,17.178724810042947
116,République populaire démocratique de Corée,1963.0,130.0,2093.0,24895,12.2,24.895,49.00582446274352
117,République de Corée,2757.0,576.0,3333.0,49263,,49.263,
118,Koweït,2794.0,705.0,3499.0,3369,0.1,3.369,2.9682398337785694
119,Lettonie,2266.0,906.0,3172.0,2050,,2.05,
120,République démocratique populaire lao,2236.0,219.0,2455.0,6770,1.1,6.77,16.248153618906944
121,Liban,2633.0,426.0,3059.0,4822,0.7,4.822,14.516798009124843
122,Lesotho,2364.0,164.0,2528.0,2074,0.3,2.074,14.464802314368372
123,Libéria,2105.0,101.0,2206.0,4294,1.8,4.294,41.91895668374476
126,Lituanie,2432.0,982.0,3414.0,3017,,3.017,
128,Chine - RAS de Macao,1999.0,916.0,2915.0,566,,0.566,
129,Madagascar,1907.0,149.0,2056.0,22925,11.4,22.925,49.727371864776444
130,Malawi,2225.0,139.0,2364.0,16363,3.3,16.363,20.167450956426084
131,Malaisie,2378.0,536.0,2914.0,29717,0.8,29.717,2.6920617828179156
132,Maldives,1913.0,820.0,2733.0,345,,0.345,
133,Mali,2520.0,367.0,2887.0,15302,1.2,15.302,7.842112142203633
134,Malte,2447.0,927.0,3374.0,429,,0.429,
136,Mauritanie,2384.0,491.0,2875.0,3890,0.5,3.89,12.853470437017995
137,Maurice,2613.0,454.0,3067.0,1244,,1.244,
138,Mexique,2441.0,627.0,3068.0,122332,4.7,122.332,3.8420037275610635
141,Mongolie,1679.0,830.0,2509.0,2839,0.4,2.839,14.089468122578374
143,Maroc,3071.0,331.0,3402.0,33008,1.2,33.008,3.6354823073194376
144,Mozambique,2179.0,103.0,2282.0,25834,8.3,25.834,32.128203143144695
146,République de Moldova,2022.0,693.0,2715.0,3487,,3.487,
147,Namibie,1877.0,289.0,2166.0,2303,0.7,2.303,30.3951367781155
149,Népal,2465.0,207.0,2672.0,27797,2.5,27.797,8.993776306795699
150,Pays-Bas,2146.0,1076.0,3222.0,16759,,16.759,
153,Nouvelle-Calédonie,2062.0,793.0,2855.0,256,,0.256,
154,Macédoine du Nord,2396.0,550.0,2946.0,2107,,2.107,
155,Vanuatu,2390.0,443.0,2833.0,253,,0.253,
156,Nouvelle-Zélande,2151.0,985.0,3136.0,4506,,4.506,
157,Nicaragua,2313.0,325.0,2638.0,6080,1.1,6.08,18.092105263157894
158,Niger,2344.0,205.0,2549.0,17831,3.6,17.831,20.189557512197858
159,Nigéria,2596.0,104.0,2700.0,173615,25.6,173.615,14.745269705958586
162,Norvège,2381.0,1102.0,3483.0,5043,,5.043,
165,Pakistan,1907.0,531.0,2438.0,182143,40.0,182.143,21.96076708959444
166,Panama,2147.0,584.0,2731.0,3864,0.4,3.864,10.351966873706004
167,Tchéquie (la),2418.0,837.0,3255.0,10702,,10.702,
169,Paraguay,2032.0,552.0,2584.0,6802,0.7,6.802,10.291090855630697
170,Pérou,2389.0,308.0,2697.0,30376,3.1,30.376,10.205425335791414
171,Philippines,2180.0,388.0,2568.0,98394,13.9,98.394,14.126877655141573
173,Pologne,2534.0,916.0,3450.0,38217,,38.217,
174,Portugal,2469.0,1003.0,3472.0,10608,,10.608,
175,Guinée-Bissau,2120.0,168.0,2288.0,1704,0.5,1.704,29.342723004694836
176,Timor-Leste,1884.0,245.0,2129.0,1133,0.3,1.133,26.478375992939096
181,Zimbabwe,1935.0,178.0,2113.0,14150,8.5,14.15,60.070671378091866
183,Roumanie,2568.0,791.0,3359.0,21699,,21.699,
184,Rwanda,2161.0,63.0,2224.0,11777,4.5,11.777,38.210070476352215
185,Fédération de Russie,2517.0,843.0,3360.0,142834,,142.834,
188,Saint-Kitts-et-Nevis,1821.0,670.0,2491.0,54,,0.054,
189,Sainte-Lucie,1820.0,769.0,2589.0,182,,0.182,
191,Saint-Vincent-et-les Grenadines,2377.0,588.0,2965.0,109,,0.109,
193,Sao Tomé-et-Principe,2211.0,187.0,2398.0,193,,0.193,
194,Arabie saoudite,2736.0,519.0,3255.0,28829,2.3,28.829,7.978077630164069
195,Sénégal,2289.0,164.0,2453.0,14133,1.8,14.133,12.736149437486736
197,Sierra Leone,2271.0,130.0,2401.0,6092,1.9,6.092,31.18844386080105
198,Slovénie,2364.0,804.0,3168.0,2072,,2.072,
199,Slovaquie,2178.0,765.0,2943.0,5450,0.2,5.45,3.669724770642202
202,Afrique du Sud,2533.0,487.0,3020.0,52776,3.5,52.776,6.631802334394421
203,Espagne,2355.0,818.0,3173.0,46927,,46.927,
207,Suriname,2374.0,378.0,2752.0,539,,0.539,
208,Tadjikistan,1929.0,270.0,2199.0,8208,,8.208,
209,Eswatini,2063.0,263.0,2326.0,1250,0.3,1.25,24.0
210,Suède,2127.0,1053.0,3180.0,9571,,9.571,
211,Suisse,2268.0,1125.0,3393.0,8078,,8.078,
213,Turkménistan,2152.0,684.0,2836.0,5240,0.3,5.24,5.7251908396946565
214,"Chine, Taiwan Province de",2342.0,656.0,2998.0,23330,0.8,23.33,3.429061294470639
215,République-Unie de Tanzanie,2060.0,144.0,2204.0,49253,17.6,49.253,35.73386392707044
216,Thaïlande,2434.0,351.0,2785.0,67011,5.4,67.011,8.058378475175719
217,Togo,2355.0,93.0,2448.0,6817,1.3,6.817,19.069972128502275
220,Trinité-et-Tobago,2414.0,635.0,3049.0,1341,,1.341,
221,Oman,2497.0,643.0,3140.0,3632,0.3,3.632,8.259911894273127
222,Tunisie,2971.0,378.0,3349.0,10997,0.5,10.997,4.546694553059925
223,Turquie,3141.0,567.0,3708.0,74933,,74.933,
225,Émirats arabes unis,2718.0,557.0,3275.0,9346,0.2,9.346,2.1399529210357375
226,Ouganda,1943.0,183.0,2126.0,37579,17.6,37.579,46.834668298783896
229,Royaume-Uni,2443.0,982.0,3425.0,63384,,63.384,
230,Ukraine,2450.0,688.0,3138.0,45239,1.5,45.239,3.3157231592210263
231,États-Unis d'Amérique,2698.0,984.0,3682.0,320051,,320.051,
233,Burkina Faso,2558.0,159.0,2717.0,16935,3.8,16.935,22.43873634484795
234,Uruguay,2185.0,867.0,3052.0,3407,,3.407,
235,Ouzbékistan,2251.0,508.0,2759.0,28934,2.0,28.934,6.912283127116886
236,Venezuela (République bolivarienne du),2157.0,476.0,2633.0,30405,6.8,30.405,22.364742641012988
237,Viet Nam,2169.0,575.0,2744.0,91680,8.8,91.68,9.598603839441536
238,Éthiopie,2005.0,124.0,2129.0,94101,21.6,94.101,22.95405999936239
244,Samoa,2141.0,815.0,2956.0,190,,0.19,
249,Yémen,2028.0,189.0,2217.0,24407,11.0,24.407,45.069037571188595
251,Zambie,1818.0,106.0,1924.0,14539,8.0,14.539,55.0244170850815
255,Belgique,2562.0,1175.0,3737.0,11104,,11.104,
256,Luxembourg,2366.0,1174.0,3540.0,530,,0.53,
272,Serbie,2025.0,700.0,2725.0,9511,0.5,9.511,5.257070760172432
273,Monténégro,2368.0,1122.0,3490.0,621,,0.621,
276,Soudan,1824.0,511.0,2335.0,37964,8.2,37.964,21.599409967337476
351,Chine,2384.0,728.0,3112.0,1416667,122.4,1416.667,8.639997967059303
